id;start_date;end_date;language
1;2020-06-06T13:55:38;2020-06-06T11:45:53;SPANISH
2;2020-06-05T18:45:49;2020-06-06T13:50:14;SPANISH
3;2020-06-06T09:41:08;2020-06-05T20:15:17;FRENCH
4;2020-06-06T00:58:39;2020-06-06T12:30:05;FRENCH
5;2020-06-06T10:28:57;2020-06-06T15:15:56;FRENCH
6;2020-06-06T04:21:18;2020-06-06T16:29:32;FRENCH
7;2020-06-06T06:06:38;2020-06-05T23:57:29;FRENCH
8;2020-06-06T05:02:51;2020-06-06T15:18:59;SPANISH
9;2020-06-06T03:44:00;2020-06-06T00:25:23;SPANISH
10;2020-06-06T11:56:04;2020-06-05T22:30:34;SPANISH
